project,vuln_id,source,severity,cvssV3,description
Angular-AngularJS.cdx,CVE-2026-22610,NVD,HIGH,6.1,"Angular is a development platform for building mobile and desktop web applications using TypeScript/JavaScript and other languages. Prior to versions 19.2.18, 20.3.16, 21.0.7, and 21.1.0-rc.0, a cross"
Angular-AngularJS.cdx,CVE-2023-32732,NVD,MEDIUM,5.3,gRPC contains a vulnerability whereby a client can cause a termination of connection between a HTTP2 proxy and a gRPC server: a base64 encoding error for `-bin` suffixed headers will result in a disco
Angular-AngularJS.cdx,CVE-2023-32732,NVD,MEDIUM,5.3,gRPC contains a vulnerability whereby a client can cause a termination of connection between a HTTP2 proxy and a gRPC server: a base64 encoding error for `-bin` suffixed headers will result in a disco
Angular-AngularJS.cdx,CVE-2025-27152,NVD,HIGH,5.3,"axios is a promise based HTTP client for the browser and node.js. The issue occurs when passing absolute URLs rather than protocol-relative URLs to axios. Even if ⁠baseURL is set, axios sends the requ"
Angular-AngularJS.cdx,CVE-2026-25639,NVD,HIGH,7.5,"Axios is a promise based HTTP client for the browser and Node.js. Prior to versions 0.30.3 and 1.13.5, the mergeConfig function in axios crashes with a TypeError when processing configuration objects "
Angular-AngularJS.cdx,CVE-2025-58754,NVD,HIGH,7.5,Axios is a promise based HTTP client for the browser and Node.js. When Axios starting in version 0.28.0 and prior to versions 0.30.2 and 1.12.0 runs on Node.js and is given a URL with the `data:` sche
Angular-AngularJS.cdx,CVE-2024-57965,NVD,CRITICAL,9.8,"In axios before 1.7.8, lib/helpers/isURLSameOrigin.js does not use a URL object when determining an origin, and has a potentially unwanted setAttribute('href',href) call. NOTE: some parties feel that "
Angular-AngularJS.cdx,CVE-2023-29827,NVD,CRITICAL,9.8,"ejs v3.1.9 is vulnerable to server-side template injection. If the ejs file is controllable, template injection can be implemented through the configuration settings of the closeDelimiter parameter. N"
Angular-AngularJS.cdx,CVE-2025-15284,NVD,MEDIUM,3.7,"Improper Input Validation vulnerability in qs (parse modules) allows HTTP DoS.This issue affects qs: < 6.14.1.


Summary

The arrayLimit option in qs did not enforce limits for bracket notation (a[]=1"
Angular-AngularJS.cdx,CVE-2024-43799,NVD,MEDIUM,4.7,Send is a library for streaming files from the file system as a http response. Send passes untrusted user input to SendStream.redirect() which executes untrusted code. This issue is patched in send 0.
Angular-AngularJS.cdx,CVE-2023-26136,NVD,CRITICAL,9.8,Versions of the package tough-cookie before 4.1.3 are vulnerable to Prototype Pollution due to improper handling of Cookies when using CookieJar in rejectPublicSuffixes=false mode. This issue arises f
Apollo_GraphQL-Apollo_Client.cdx,CVE-2023-29827,NVD,CRITICAL,9.8,"ejs v3.1.9 is vulnerable to server-side template injection. If the ejs file is controllable, template injection can be implemented through the configuration settings of the closeDelimiter parameter. N"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2022-37620,NVD,HIGH,7.5,A Regular Expression Denial of Service (ReDoS) flaw was found in kangax html-minifier 4.0.0 because of the reCustomIgnore regular expression.
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-13465,NVD,MEDIUM,5.3,Lodash versions 4.0.0 through 4.17.22 are vulnerable to prototype pollution in the _.unset and _.omit functions. An attacker can pass crafted paths which cause Lodash to delete methods from global pro
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-26996,NVD,HIGH,7.5,minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a 
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27904,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4, nested `*()` extgl"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27903,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3, `matchOne()` perfo"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-26996,NVD,HIGH,7.5,minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a 
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27904,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4, nested `*()` extgl"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27903,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3, `matchOne()` perfo"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-26996,NVD,HIGH,7.5,minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a 
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27904,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4, nested `*()` extgl"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27903,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3, `matchOne()` perfo"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-66030,NVD,MEDIUM,5.3,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. An Integer Overflow vulnerability in node-forge versions 1.3.1 and below enables remote, unauthen"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-66031,NVD,HIGH,7.5,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. An Uncontrolled Recursion vulnerability in node-forge versions 1.3.1 and below enables remote, un"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-12816,NVD,HIGH,8.6,"An interpretation-conflict (CWE-436) vulnerability in node-forge versions 1.3.1 and earlier enables unauthenticated attackers to craft ASN.1 structures to desynchronize schema validations, yielding a "
Apollo_GraphQL-Apollo_Client.cdx,CVE-2023-44270,NVD,MEDIUM,5.3,An issue was discovered in PostCSS before 8.4.31. The vulnerability affects linters using PostCSS to parse external untrusted CSS. An attacker can prepare CSS in such a way that it will contains parts
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-15284,NVD,MEDIUM,3.7,"Improper Input Validation vulnerability in qs (parse modules) allows HTTP DoS.This issue affects qs: < 6.14.1.


Summary

The arrayLimit option in qs did not enforce limits for bracket notation (a[]=1"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-2391,NVD,MEDIUM,7.5,"### Summary
The `arrayLimit` option in qs does not enforce limits for comma-separated values when `comma: true` is enabled, allowing attackers to cause denial-of-service via memory exhaustion. This is"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-29074,NVD,HIGH,7.5,"SVGO, short for SVG Optimizer, is a Node.js library and command-line application for optimizing SVG files. From version 2.1.0 to before version 2.8.1, from version 3.0.0 to before version 3.3.3, and b"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2026-27601,NVD,HIGH,7.5,"Underscore.js is a utility-belt library for JavaScript. Prior to 1.13.8, the _.flatten and _.isEqual functions use recursion without a depth limit. Under very specific conditions, detailed below, an a"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-58751,NVD,LOW,5.3,"Vite is a frontend tooling framework for JavaScript. Prior to versions 7.1.5, 7.0.7, 6.3.6, and 5.4.20, files starting with the same name with the public directory were served bypassing the `server.fs"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-58752,NVD,LOW,5.3,"Vite is a frontend tooling framework for JavaScript. Prior to versions 7.1.5, 7.0.7, 6.3.6, and 5.4.20, any HTML files on the machine were served regardless of the `server.fs` settings. Only apps that"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-46565,NVD,MEDIUM,5.3,"Vite is a frontend tooling framework for javascript. Prior to versions 6.3.4, 6.2.7, 6.1.6, 5.4.19, and 4.5.14, the contents of files in the project root that are denied by a file matching pattern can"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-31125,NVD,HIGH,7.5,Vite is a frontend tooling framework for javascript. Vite exposes content of non-allowed files using ?inline&import or ?raw?import. Only apps explicitly exposing the Vite dev server to the network (us
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-30208,NVD,HIGH,7.5,"Vite, a provider of frontend development tooling, has a vulnerability in versions prior to 6.2.3, 6.1.2, 6.0.12, 5.4.15, and 4.5.10. `@fs` denies access to files outside of Vite serving allow list. Ad"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-58751,NVD,LOW,5.3,"Vite is a frontend tooling framework for JavaScript. Prior to versions 7.1.5, 7.0.7, 6.3.6, and 5.4.20, files starting with the same name with the public directory were served bypassing the `server.fs"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-58752,NVD,LOW,5.3,"Vite is a frontend tooling framework for JavaScript. Prior to versions 7.1.5, 7.0.7, 6.3.6, and 5.4.20, any HTML files on the machine were served regardless of the `server.fs` settings. Only apps that"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-46565,NVD,MEDIUM,5.3,"Vite is a frontend tooling framework for javascript. Prior to versions 6.3.4, 6.2.7, 6.1.6, 5.4.19, and 4.5.14, the contents of files in the project root that are denied by a file matching pattern can"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-31125,NVD,HIGH,7.5,Vite is a frontend tooling framework for javascript. Vite exposes content of non-allowed files using ?inline&import or ?raw?import. Only apps explicitly exposing the Vite dev server to the network (us
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-30208,NVD,HIGH,7.5,"Vite, a provider of frontend development tooling, has a vulnerability in versions prior to 6.2.3, 6.1.2, 6.0.12, 5.4.15, and 4.5.10. `@fs` denies access to files outside of Vite serving allow list. Ad"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-68157,NVD,LOW,3.7,"Webpack is a module bundler. From version 5.49.0 to before 5.104.0, when experiments.buildHttp is enabled, webpack’s HTTP(S) resolver (HttpUriPlugin) enforces allowedUris only for the initial URL, but"
Apollo_GraphQL-Apollo_Client.cdx,CVE-2025-68458,NVD,LOW,3.7,"Webpack is a module bundler. From version 5.49.0 to before 5.104.1, when experiments.buildHttp is enabled, webpack’s HTTP(S) resolver (HttpUriPlugin) can be bypassed to fetch resources from hosts outs"
Backbonejs-Backbonejs.cdx,CVE-2026-27601,NVD,HIGH,7.5,"Underscore.js is a utility-belt library for JavaScript. Prior to 1.13.8, the _.flatten and _.isEqual functions use recursion without a depth limit. Under very specific conditions, detailed below, an a"
Bolt-Bolt.cdx,CVE-2020-28469,NVD,HIGH,7.5,This affects the package glob-parent before 5.1.2. The enclosure regex used to check for strings ending in enclosure containing path separator.
Bolt-Bolt.cdx,CVE-2022-37620,NVD,HIGH,7.5,A Regular Expression Denial of Service (ReDoS) flaw was found in kangax html-minifier 4.0.0 because of the reCustomIgnore regular expression.
Bolt-Bolt.cdx,CVE-2022-37620,NVD,HIGH,7.5,A Regular Expression Denial of Service (ReDoS) flaw was found in kangax html-minifier 4.0.0 because of the reCustomIgnore regular expression.
Bolt-Bolt.cdx,CVE-2023-42282,NVD,CRITICAL,9.8,The ip package before 1.1.9 for Node.js might allow SSRF because some IP addresses (such as 0x7f.1) are improperly categorized as globally routable via isPublic.
Bolt-Bolt.cdx,CVE-2022-46175,NVD,HIGH,8.8,JSON5 is an extension to the popular JSON file format that aims to be easier to write and maintain by hand (e.g. for config files). The `parse` method of the JSON5 library before and including version
Bolt-Bolt.cdx,CVE-2026-29091,NVD,HIGH,8.1,"Locutus brings stdlibs of other programming languages to JavaScript for educational purposes. Prior to version 3.0.0, a remote code execution (RCE) flaw was discovered in the locutus project, specific"
Bolt-Bolt.cdx,CVE-2026-32304,NVD,CRITICAL,9.8,"Locutus brings stdlibs of other programming languages to JavaScript for educational purposes. Prior to 3.0.14, the create_function(args, code) function passes both parameters directly to the Function "
Bolt-Bolt.cdx,CVE-2022-21680,NVD,HIGH,7.5,"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `block.def` may cause catastrophic backtracking against some strings and lead to a regular expression denial o"
Bolt-Bolt.cdx,CVE-2022-21681,NVD,HIGH,7.5,"Marked is a markdown parser and compiler. Prior to version 4.0.10, the regular expression `inline.reflinkSearch` may cause catastrophic backtracking against some strings and lead to a denial of servic"
Bolt-Bolt.cdx,CVE-2022-24773,NVD,MEDIUM,5.3,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. Prior to version 1.3.0, RSA PKCS#1 v1.5 signature verification code does not properly check `Dige"
Bolt-Bolt.cdx,CVE-2022-24772,NVD,HIGH,7.5,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. Prior to version 1.3.0, RSA PKCS#1 v1.5 signature verification code does not check for tailing ga"
Bolt-Bolt.cdx,CVE-2022-24771,NVD,HIGH,7.5,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. Prior to version 1.3.0, RSA PKCS#1 v1.5 signature verification code is lenient in checking the di"
Bolt-Bolt.cdx,CVE-2022-0122,NVD,MEDIUM,6.1,forge is vulnerable to URL Redirection to Untrusted Site
Bolt-Bolt.cdx,CVE-2025-66030,NVD,MEDIUM,5.3,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. An Integer Overflow vulnerability in node-forge versions 1.3.1 and below enables remote, unauthen"
Bolt-Bolt.cdx,CVE-2025-66031,NVD,HIGH,7.5,"Forge (also called `node-forge`) is a native implementation of Transport Layer Security in JavaScript. An Uncontrolled Recursion vulnerability in node-forge versions 1.3.1 and below enables remote, un"
Bolt-Bolt.cdx,CVE-2025-12816,NVD,HIGH,8.6,"An interpretation-conflict (CWE-436) vulnerability in node-forge versions 1.3.1 and earlier enables unauthenticated attackers to craft ASN.1 structures to desynchronize schema validations, yielding a "
Bolt-Bolt.cdx,CVE-2023-44270,NVD,MEDIUM,5.3,An issue was discovered in PostCSS before 8.4.31. The vulnerability affects linters using PostCSS to parse external untrusted CSS. An attacker can prepare CSS in such a way that it will contains parts
Bolt-Bolt.cdx,CVE-2025-15284,NVD,MEDIUM,3.7,"Improper Input Validation vulnerability in qs (parse modules) allows HTTP DoS.This issue affects qs: < 6.14.1.


Summary

The arrayLimit option in qs did not enforce limits for bracket notation (a[]=1"
Bolt-Bolt.cdx,CVE-2026-2391,NVD,MEDIUM,7.5,"### Summary
The `arrayLimit` option in qs does not enforce limits for comma-separated values when `comma: true` is enabled, allowing attackers to cause denial-of-service via memory exhaustion. This is"
Bolt-Bolt.cdx,CVE-2025-15284,NVD,MEDIUM,3.7,"Improper Input Validation vulnerability in qs (parse modules) allows HTTP DoS.This issue affects qs: < 6.14.1.


Summary

The arrayLimit option in qs did not enforce limits for bracket notation (a[]=1"
Bolt-Bolt.cdx,CVE-2026-2391,NVD,MEDIUM,7.5,"### Summary
The `arrayLimit` option in qs does not enforce limits for comma-separated values when `comma: true` is enabled, allowing attackers to cause denial-of-service via memory exhaustion. This is"
Bolt-Bolt.cdx,CVE-2025-15284,NVD,MEDIUM,3.7,"Improper Input Validation vulnerability in qs (parse modules) allows HTTP DoS.This issue affects qs: < 6.14.1.


Summary

The arrayLimit option in qs did not enforce limits for bracket notation (a[]=1"
Bolt-Bolt.cdx,CVE-2023-26136,NVD,CRITICAL,9.8,Versions of the package tough-cookie before 4.1.3 are vulnerable to Prototype Pollution due to improper handling of Cookies when using CookieJar in rejectPublicSuffixes=false mode. This issue arises f
Bolt-Bolt.cdx,CVE-2024-43788,NVD,MEDIUM,6.1,"Webpack is a module bundler. Its main purpose is to bundle JavaScript files for usage in a browser, yet it is also capable of transforming, bundling, or packaging just about any resource or asset. The"
Canonical-Juju.cdx,CVE-2021-22570,NVD,MEDIUM,5.5,"Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error me"
Canonical-Juju.cdx,CVE-2015-5237,NVD,HIGH,8.8,protobuf allows remote authenticated attackers to cause a heap-based buffer overflow.
Canonical-Juju.cdx,CVE-2024-7254,NVD,HIGH,7.5,Any project that parses untrusted Protocol Buffers data containing an arbitrary number of nested groups / series of SGROUP tags can corrupted by exceeding the stack limit i.e. StackOverflow. Parsing n
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2025-33042,NVD,HIGH,7.3,"Improper Control of Generation of Code ('Code Injection') vulnerability in Apache Avro Java SDK when generating specific records from untrusted Avro schemas.

This issue affects Apache Avro Java SDK: "
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2024-47561,NVD,CRITICAL,7.3,"Schema parsing in the Java SDK of Apache Avro 1.11.3 and previous versions allows bad actors to execute arbitrary code.
Users are recommended to upgrade to version 1.11.4  or 1.12.0, which fix this is"
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2025-33042,NVD,HIGH,7.3,"Improper Control of Generation of Code ('Code Injection') vulnerability in Apache Avro Java SDK when generating specific records from untrusted Avro schemas.

This issue affects Apache Avro Java SDK: "
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2023-39410,NVD,HIGH,7.5,"When deserializing untrusted or corrupted data, it is possible for a reader to consume memory beyond the allowed constraints and thus lead to out of memory on the system.

This issue affects Java appl"
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2020-13956,NVD,MEDIUM,5.3,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host 
Cask_Data-Cask_Data_Application_Platform.cdx,CVE-2023-50572,NVD,MEDIUM,5.5,An issue in the component GroovyEngine.execute of jline-groovy v3.24.1 allows attackers to cause an OOM (OutofMemory) error.
Citrix_Systems_Inc-CloudStack.cdx,CVE-2025-27152,NVD,HIGH,5.3,"axios is a promise based HTTP client for the browser and node.js. The issue occurs when passing absolute URLs rather than protocol-relative URLs to axios. Even if ⁠baseURL is set, axios sends the requ"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2026-25639,NVD,HIGH,7.5,"Axios is a promise based HTTP client for the browser and Node.js. Prior to versions 0.30.3 and 1.13.5, the mergeConfig function in axios crashes with a TypeError when processing configuration objects "
Citrix_Systems_Inc-CloudStack.cdx,CVE-2025-58754,NVD,HIGH,7.5,Axios is a promise based HTTP client for the browser and Node.js. When Axios starting in version 0.28.0 and prior to versions 0.30.2 and 1.12.0 runs on Node.js and is given a URL with the `data:` sche
Citrix_Systems_Inc-CloudStack.cdx,CVE-2024-57965,NVD,CRITICAL,9.8,"In axios before 1.7.8, lib/helpers/isURLSameOrigin.js does not use a URL object when determining an origin, and has a potentially unwanted setAttribute('href',href) call. NOTE: some parties feel that "
Citrix_Systems_Inc-CloudStack.cdx,CVE-2023-46234,NVD,HIGH,7.5,"browserify-sign is a package to duplicate the functionality of node's crypto public key functions, much of this is based on Fedor Indutny's work on indutny/tls.js. An upper bound check issue in `dsaVe"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2025-22828,NVD,MEDIUM,4.3,"CloudStack users can add and read comments (annotations) on resources they are authorised to access. 

Due to an access validation issue that affects Apache CloudStack versions from 4.16.0, users who "
Citrix_Systems_Inc-CloudStack.cdx,CVE-2025-22828,NVD,MEDIUM,4.3,"CloudStack users can add and read comments (annotations) on resources they are authorised to access. 

Due to an access validation issue that affects Apache CloudStack versions from 4.16.0, users who "
Citrix_Systems_Inc-CloudStack.cdx,CVE-2022-38778,NVD,MEDIUM,6.5,"A flaw (CVE-2022-38900) was discovered in one of Kibana’s third party dependencies, that could allow an authenticated user to perform a request that crashes the Kibana server process."
Citrix_Systems_Inc-CloudStack.cdx,CVE-2022-38900,NVD,HIGH,7.5,decode-uri-component 0.2.0 is vulnerable to Improper Input Validation resulting in DoS.
Citrix_Systems_Inc-CloudStack.cdx,CVE-2024-48949,NVD,CRITICAL,9.1,"The verify function in lib/elliptic/eddsa/index.js in the Elliptic package before 6.5.6 for Node.js omits ""sig.S().gte(sig.eddsa.curve.n) || sig.S().isNeg()"" validation."
Citrix_Systems_Inc-CloudStack.cdx,CVE-2023-26159,NVD,MEDIUM,6.1,"Versions of the package follow-redirects before 1.15.4 are vulnerable to Improper Input Validation due to the improper handling of URLs by the url.parse() function. When new URL() throws an error, it "
Citrix_Systems_Inc-CloudStack.cdx,CVE-2022-25881,NVD,HIGH,7.5,"This affects versions of the package http-cache-semantics before 4.1.1. The issue can be exploited via malicious request header values sent to a server, when that server reads the cache policy from th"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2023-42282,NVD,CRITICAL,9.8,The ip package before 1.1.9 for Node.js might allow SSRF because some IP addresses (such as 0x7f.1) are improperly categorized as globally routable via isPublic.
Citrix_Systems_Inc-CloudStack.cdx,CVE-2022-46175,NVD,HIGH,8.8,JSON5 is an extension to the popular JSON file format that aims to be easier to write and maintain by hand (e.g. for config files). The `parse` method of the JSON5 library before and including version
Citrix_Systems_Inc-CloudStack.cdx,CVE-2025-13465,NVD,MEDIUM,5.3,Lodash versions 4.0.0 through 4.17.22 are vulnerable to prototype pollution in the _.unset and _.omit functions. An attacker can pass crafted paths which cause Lodash to delete methods from global pro
Citrix_Systems_Inc-CloudStack.cdx,CVE-2026-26996,NVD,HIGH,7.5,minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a 
Citrix_Systems_Inc-CloudStack.cdx,CVE-2026-27904,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.4, nested `*()` extgl"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2026-27903,NVD,HIGH,7.5,"minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Prior to version 10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, and 3.1.3, `matchOne()` perfo"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2021-21362,NVD,MEDIUM,6.5,MinIO is an open-source high performance object storage service and it is API compatible with Amazon S3 cloud storage service. In MinIO before version RELEASE.2021-03-04T00-53-13Z it is possible to by
Citrix_Systems_Inc-CloudStack.cdx,CVE-2021-21287,NVD,HIGH,7.7,MinIO is a High Performance Object Storage released under Apache License v2.0. In MinIO before version RELEASE.2021-01-30T00-20-58Z there is a server-side request forgery vulnerability. The target app
Citrix_Systems_Inc-CloudStack.cdx,CVE-2021-21390,NVD,MEDIUM,5.9,"MinIO is an open-source high performance object storage service and it is API compatible with Amazon S3 cloud storage service. In MinIO before version RELEASE.2021-03-17T02-33-02Z, there is a vulnerab"
Citrix_Systems_Inc-CloudStack.cdx,CVE-2018-1000538,NVD,HIGH,7.5,Minio Inc. Minio S3 server version prior to RELEASE.2018-05-16T23-35-33Z contains a Allocation of Memory Without Limits or Throttling (similar to CWE-774) vulnerability in write-to-RAM that can result
